ajb-g10-s2960-2	42.200.150.54
eg20-8-s9407R-1	10.123.64.7
EG20-4-S9300-1	10.123.64.5
EG20-9-S9300-1	10.123.64.6
wood-cr-s3850-1	10.108.225.70
vau-2f-s3850-1	42.40.76.15 
ajb-c1-s4510-1	10.124.1.2
ajb-f8-s4510-1	10.124.160.2
ajb-h10-s2960s-1	42.200.150.41
ajb-7a-s2960s-1	42.200.150.70
ajb-asrs-s2960-1	42.200.150.68
ajb-asrs-s2960-2	42.200.150.69
ajb-o20-s2960-1	42.200.150.24
ajb-p18-s2960-1	42.200.150.26
ajb-c18-s2960-1	42.200.150.29
ajb-fpk-s2960-1	42.200.150.71
ajb-g10-s2960-1	42.200.150.28
ajb-o15-s2960s-1	42.200.150.37
ajb-p30-s2960s-1	42.200.150.32
ajb-c20-s2960s-1	42.200.150.33
ajb-j26-s2960s-1	42.200.150.27
ajb-gh-s2960s-1	42.200.150.48
ajb-n10-s2960s-1	42.200.150.39
ajb-k2-s2960s-1	42.200.150.46
ajb-k14-s2960s-1	42.200.150.38
ajb-g23-s2960s-1	42.200.150.36
ajb-k7-s2960s-1	42.200.150.42
ajb-c4-s2960s-1	42.200.150.44
ajb-k30-s2960s-1	42.200.150.35
ajb-d31-s2960s-1	42.200.150.31
ajb-k34-s2960s-1	42.200.150.30
ajbdmzsw01	10.101.248.51
ajb-c15-s2960-1	42.200.150.34
ajb-c1-isr3945e-1	10.124.0.5
ajb-o4-s2960-1	42.200.150.43
ajb-uat-s2960-1	42.200.150.45
bolt-vss-1	10.106.2.1
BOLT-A27-SW-1	10.106.7.11
BOLT-A27-SW-2	10.106.7.12
BOLT-C1-SW-1	10.106.7.13
BOLT-C1-SW-2	10.106.7.14
BOLT-A03-SW-1	10.106.7.15
BOLT-A7-SW-1	10.106.7.16
BOLT-A12-SW-1	10.106.7.17
BOLT-A14-SW-1	10.106.7.18
BOLT-A17-SW-1	10.106.7.19
BOLT-A22-SW-1	10.106.7.20
BOLT-A31-SW-1	10.106.7.21
BOLT-B36-SW-1	10.106.7.22
BOLT-B5-SW-1	10.106.7.23
BOLT-C15-SW-1	10.106.7.24
BOLT-GH-SW-1	10.106.7.26
BOLT-M1-SW-1	10.106.7.38
BOLT-Q4-SW-1	10.106.7.39
BOLT-Q9-SW-1	10.106.7.40
BOLT-Q13-SW-1	10.106.7.41
BOLT-Q17-SW-1	10.106.7.42
BOLT-Q22-SW-1	10.106.7.43
BOLT-Q27-SW-1	10.106.7.44
BOLT-Q31-SW-1	10.106.7.45
BOLT-Q36-SW-1	10.106.7.46
BOLT-A27-RT-1	10.106.0.5
BOLT-C1-RT-1	10.106.0.9
BOLT-CC-SW-1	10.106.7.55
BOLT-FP-SW-1	10.106.7.47
BOLT-G36-SW-1	10.106.7.37
BOLT-H3-SW-1	10.106.7.27
BOLT-H5-SW-1	10.106.7.28
BOLT-H7-SW-1	10.106.7.29
BOLT-HW-SW-1	10.106.7.30
BOLT-J10-SW-1	10.106.7.31
BOLT-J14-SW-1	10.106.7.32
BOLT-J17-SW-1	10.106.7.33
BOLT-J22-SW-1	10.106.7.34
BOLT-J27-SW-1	10.106.7.35
BOLT-J31-SW-1	10.106.7.36
BOLT-WS-SW-1	10.106.7.49
edc-51a-s3850-1	42.201.65.19
edc-41a-s3850-1	42.201.65.20
edc-52r-s3850-1	42.201.65.21
edc-62r-s3850-1	42.201.65.22
edc-65a-s3850-1	42.201.65.23
edc-63a-s3850-1	42.201.65.24
edc-66r-s3850-1	42.201.65.25
